"BehaviorSpace results (NetLogo 6.2.2)"
"Model for Pub.nlogo"
"Mixed Group_Set DD by Olf_Lower Range"
"07/09/2024 11:55:26:676 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","300","0","300"
"[run number]","pen","N-Birds","see-wind-arrows","Length-Odor-Trails","Olfaction-Threshold","Detection-Distance","communicate","weight-flock-crosswind","Seed","Mixed-Group","Number-Of-Low-Olf","[step]","(count turtles with [did-find-food = 1])","(count turtles with [ever-find-odor = 1])","(count turtles with [ever-find-odor = 0 and did-find-food = 1])","(count turtles with [ever-find-odor = 1 and did-find-food = 0])","(count turtles with [did-find-food = 1 and dd = 50])","(count turtles with [did-find-food = 1 and dd = 10])"
"88","false","50","false","200","40","50","true","0","115","true","46","500","35","3","32","0","32","3"
"45","false","50","false","200","40","50","true","0","108","true","44","500","8","4","8","4","8","0"
"52","false","50","false","200","40","50","true","0","109","true","46","500","33","3","30","0","30","3"
"72","false","50","false","200","40","50","true","0","112","true","49","500","43","1","42","0","42","1"
"57","false","50","false","200","40","50","true","0","110","true","44","500","0","0","0","0","0","0"
"75","false","50","false","200","40","50","true","0","113","true","44","500","38","3","36","1","36","2"
"103","false","50","false","200","40","50","true","0","118","true","30","500","38","11","30","3","30","8"
"85","false","50","false","200","40","50","true","0","115","true","30","500","31","10","23","2","23","8"
"81","false","50","false","200","40","50","true","0","114","true","44","500","45","6","40","1","40","5"
"86","false","50","false","200","40","50","true","0","115","true","42","500","36","6","31","1","31","5"
"80","false","50","false","200","40","50","true","0","114","true","42","500","34","8","32","6","32","2"
"109","false","50","false","200","40","50","true","0","119","true","30","500","49","20","30","1","30","19"
"91","false","50","false","200","40","50","true","0","116","true","30","500","36","12","28","4","28","8"
"97","false","50","false","200","40","50","true","0","117","true","30","500","17","17","9","9","9","8"
"66","false","50","false","200","40","50","true","0","111","true","49","500","35","1","34","0","34","1"
"89","false","50","false","200","40","50","true","0","115","true","48","500","44","2","43","1","43","1"
"87","false","50","false","200","40","50","true","0","115","true","44","500","32","4","28","0","28","4"
"114","false","50","false","200","40","50","true","0","119","true","49","500","37","1","36","0","36","1"
"99","false","50","false","200","40","50","true","0","117","true","44","500","15","6","14","5","14","1"
"82","false","50","false","200","40","50","true","0","114","true","46","500","28","4","25","1","25","3"
"76","false","50","false","200","40","50","true","0","113","true","46","500","40","2","38","0","38","2"
"115","false","50","false","200","40","50","true","0","120","true","30","500","35","7","30","2","30","5"
"100","false","50","false","200","40","50","true","0","117","true","46","500","46","4","42","0","42","4"
"78","false","50","false","200","40","50","true","0","113","true","49","500","0","0","0","0","0","0"
"98","false","50","false","200","40","50","true","0","117","true","42","500","3","7","2","6","2","1"
"112","false","50","false","200","40","50","true","0","119","true","46","351","50","4","46","0","46","4"
"84","false","50","false","200","40","50","true","0","114","true","49","500","32","1","32","1","32","0"
"110","false","50","false","200","40","50","true","0","119","true","42","367","50","8","42","0","42","8"
"90","false","50","false","200","40","50","true","0","115","true","49","500","40","1","39","0","39","1"
"83","false","50","false","200","40","50","true","0","114","true","48","500","43","2","41","0","41","2"
"111","false","50","false","200","40","50","true","0","119","true","44","500","46","6","40","0","40","6"
