BehaviorSpace results (NetLogo 6.2.2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model for Pub_v14_Cleaning.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fig 3A_Wandering Albatross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/02/2025 12:59:02:390 -0400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,450,0,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[run number],pen,see-wind-arrows,Patch-Scaler,Tick-Scaler,Total-Model-Time-In-Seconds,Size-Of-Food-Source-In-Meters,Total-Time-Spent-Trying-To-Relocate-Odor-Before-Give-Up-Seconds,Starting-Distance-From-Plume-Width-Meters,Starting-Distance-From-Plume-Length-Meters,N-Species2,Species1,S1-Dist-Food-Meters,N-Species1,weight-flocking,Time-Per-Turn,max-turning-radius-degrees-per-second,max-align-cohere-turn-degrees-per-second,max-separate-turn-degrees-per-second,Eddy-Diffusivity,Rate-Of-Puff-Radius-Increase,Odor-Source-Release-Rate,zig-zag-heading-offset,Denominator-For-Relationship-Between-DR-and-MinSep,S1-Body-Length-Meters,S1-Flight-Speed-MpS,S1-DR,S1-Olfaction,Strategy,Seed,[step],(count turtles with [did-find-food = 1]),(count turtles with [did-find-food = 1 and ever-find-odor = 0]),(count turtles with [did-find-food = 1 and ever-find-odor = 1]),(allfoundodor),(count turtles)
9,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,9,852,9,0,9,43,9
25,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,25,932,11,0,11,29,11
11,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,11,928,12,0,12,42,12
14,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,14,825,28,0,28,49,28
17,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,17,934,18,0,18,48,18
20,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,20,859,24,1,23,47,24
30,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,30,869,22,0,22,47,22
32,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,32,995,16,0,16,45,16
33,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,33,800,18,0,18,41,18
38,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,38,835,6,0,6,15,6
34,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,34,902,21,0,21,49,21
35,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,35,916,11,0,11,42,11
39,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,39,838,18,0,18,31,18
37,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,37,915,19,0,19,44,19
40,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,40,912,15,0,15,45,15
36,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,36,895,23,0,23,40,23
49,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,49,799,4,0,4,9,4
43,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,43,871,17,0,17,49,17
45,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,45,879,6,0,6,24,6
44,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,44,771,24,0,24,44,24
41,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,41,840,7,0,7,39,7
51,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,51,876,14,0,14,24,14
53,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,53,929,22,0,22,31,22
62,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,62,989,4,0,4,17,4
42,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,42,871,15,0,15,30,15
47,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,47,876,16,0,16,31,16
60,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,60,879,15,0,15,35,15
54,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,54,834,4,0,4,8,4
46,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,46,889,12,0,12,36,12
52,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,52,857,10,0,10,28,10
50,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,50,901,11,0,11,49,11
56,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,56,874,10,0,10,45,10
55,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,55,862,21,1,20,43,21
63,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,63,900,7,0,7,36,7
58,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,58,903,16,0,16,46,16
59,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,59,921,11,0,11,46,11
64,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,64,828,15,0,15,33,15
48,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,48,968,15,0,15,43,15
61,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,61,902,13,0,13,44,13
57,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,57,936,13,0,13,33,13
65,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,65,893,6,0,6,35,6
66,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,66,893,12,0,12,22,12
67,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,67,865,5,0,5,18,5
68,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,68,969,2,0,2,23,2
69,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,69,905,8,0,8,25,8
70,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,70,860,20,0,20,44,20
72,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,72,889,22,0,22,33,22
71,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,71,963,17,0,17,38,17
76,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,76,765,1,0,1,4,1
74,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,74,843,22,0,22,30,22
85,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,85,767,3,0,3,4,3
75,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,75,858,13,0,13,46,13
92,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,92,884,3,0,3,9,3
79,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,79,836,8,0,8,17,8
80,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,80,852,10,0,10,29,10
73,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,73,914,13,0,13,46,13
82,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,82,875,10,0,10,27,10
83,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,83,911,14,0,14,27,14
93,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,93,860,9,0,9,12,9
77,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,77,884,16,0,16,48,16
81,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,81,903,7,0,7,26,7
78,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,78,859,8,0,8,34,8
95,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,95,901,2,0,2,29,2
91,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,91,892,9,0,9,44,9
87,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,87,885,8,0,8,47,8
88,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,88,861,29,0,29,45,29
86,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,86,889,17,0,17,41,17
90,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,90,850,4,0,4,39,4
84,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,84,839,5,0,5,33,5
89,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,89,873,18,0,18,50,18
96,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,96,807,24,0,24,50,24
94,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,94,872,15,0,15,47,15
97,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,97,894,15,0,15,36,15
98,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,98,889,16,0,16,31,16
99,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,99,813,10,0,10,20,10
101,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,101,890,17,0,17,25,17
100,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,100,842,15,0,15,46,15
102,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,102,903,26,0,26,47,26
103,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,103,858,14,0,14,37,14
104,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,104,879,17,0,17,43,17
105,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,105,810,4,0,4,9,4
107,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,107,886,10,0,10,28,10
106,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,106,772,20,1,19,29,20
109,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,109,787,6,0,6,14,6
108,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,108,959,16,0,16,26,16
113,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,113,840,14,0,14,42,14
120,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,120,348,0,0,0,0,0
114,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,114,885,20,0,20,35,20
110,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,110,887,23,0,23,44,23
125,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,125,351,0,0,0,0,0
111,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,111,823,27,0,27,50,27
112,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,112,863,25,0,25,50,25
123,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,123,877,1,0,1,19,1
121,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,121,945,11,0,11,20,11
115,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,115,839,4,0,4,41,4
118,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,118,857,5,0,5,21,5
124,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,124,854,11,0,11,35,11
116,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,116,796,25,0,25,41,25
119,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,119,857,13,0,13,38,13
117,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,117,914,16,0,16,41,16
122,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,1.2,15,20,low,Network Foraging,122,902,8,0,8,38,8
