"BehaviorSpace results (NetLogo 6.2.2)"
"Model for Parameterization.nlogo"
"Parameterize max turn angle"
"06/11/2024 14:08:18:285 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","300","0","300"
"[run number]","Detect-Dist-Food","see-wind-arrows","pen","Size-Bird","TotalTimeSpentZigZagging","Length-Odor-Trails","ZigZagAngle","Sep-Vision-Interdependent","TimeUpWind","TimeZigZagging","N-Birds","JitterOdor","Step","minimum-separation","Detection-Distance","weight-flock-crosswind","communicate","Olfaction-Threshold","Seed","max-separate-turn","max-align-cohere-turn","[step]","((count turtles with [did-find-food = 1]) / N-Birds) * 100"
"150","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","10","1","10","500","66"
"146","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","10","0.5","10","500","46"
"141","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","9","2","1","500","42"
"159","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","10","2","20","500","92"
"160","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","10","2","40","500","96"
"156","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","10","1.5","40","500","92"
"158","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","10","2","10","500","74"
"137","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","9","1.5","1","500","46"
"151","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","10","1","20","500","68"
"152","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","10","1","40","500","57.99999999999999"
"154","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","10","1.5","10","500","64"
"149","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","10","1","1","500","36"
"143","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","9","2","20","500","48"
"163","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","11","0.5","20","500","54"
"168","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","11","1","40","500","72"
"162","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","11","0.5","10","500","56.00000000000001"
