"BehaviorSpace results (NetLogo 6.2.2)"
"Model for Pub.nlogo"
"Mixed Group_Set DD by Olf_More Ranges"
"07/10/2024 11:00:39:945 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","300","0","300"
"[run number]","pen","N-Birds","see-wind-arrows","Length-Odor-Trails","Olfaction-Threshold","Detection-Distance","communicate","weight-flock-crosswind","Seed","Mixed-Group","Number-Of-Low-Olf","[step]","(count turtles with [did-find-food = 1])","(count turtles with [ever-find-odor = 1])","(count turtles with [ever-find-odor = 0 and did-find-food = 1])","(count turtles with [ever-find-odor = 1 and did-find-food = 0])","(count turtles with [did-find-food = 1 and dd = 50])","(count turtles with [did-find-food = 1 and dd = 10])"
"93","false","50","false","200","40","50","true","0","47","true","15","500","24","20","14","10","14","10"
"95","false","50","false","200","40","50","true","0","48","true","15","404","50","35","15","0","15","35"
"84","false","50","false","200","40","50","true","0","42","true","35","500","0","0","0","0","0","0"
"54","false","50","false","200","40","50","true","0","27","true","35","500","46","14","35","3","35","11"
"71","false","50","false","200","40","50","true","0","36","true","15","500","24","10","14","0","14","10"
"44","false","50","false","200","40","50","true","0","22","true","35","500","47","15","32","0","32","15"
"103","false","50","false","200","40","50","true","0","52","true","15","500","8","11","4","7","4","4"
"77","false","50","false","200","40","50","true","0","39","true","15","500","28","17","15","4","15","13"
"65","false","50","false","200","40","50","true","0","33","true","15","500","1","14","0","13","0","1"
"96","false","50","false","200","40","50","true","0","48","true","35","500","47","15","33","1","33","14"
"98","false","50","false","200","40","50","true","0","49","true","35","500","37","9","32","4","32","5"
"105","false","50","false","200","40","50","true","0","53","true","15","500","26","11","15","0","15","11"
"85","false","50","false","200","40","50","true","0","43","true","15","500","41","35","15","9","15","26"
"102","false","50","false","200","40","50","true","0","51","true","35","500","45","13","34","2","34","11"
"38","false","50","false","200","40","50","true","0","19","true","35","500","0","5","0","5","0","0"
"73","false","50","false","200","40","50","true","0","37","true","15","500","0","8","0","8","0","0"
"100","false","50","false","200","40","50","true","0","50","true","35","500","23","15","15","7","15","8"
"89","false","50","false","200","40","50","true","0","45","true","15","399","50","35","15","0","15","35"
"109","false","50","false","200","40","50","true","0","55","true","15","500","22","35","15","28","15","7"
"60","false","50","false","200","40","50","true","0","30","true","35","500","36","14","31","9","31","5"
"58","false","50","false","200","40","50","true","0","29","true","35","500","39","9","31","1","31","8"
"113","false","50","false","200","40","50","true","0","57","true","15","500","40","26","14","0","14","26"
"101","false","50","false","200","40","50","true","0","51","true","15","500","40","27","15","2","15","25"
"70","false","50","false","200","40","50","true","0","35","true","35","500","43","15","34","6","34","9"
"121","false","50","false","200","40","50","true","0","61","true","15","500","39","30","14","5","14","25"
"112","false","50","false","200","40","50","true","0","56","true","35","500","47","15","34","2","34","13"
"97","false","50","false","200","40","50","true","0","49","true","15","500","24","20","15","11","15","9"
"83","false","50","false","200","40","50","true","0","42","true","15","500","0","0","0","0","0","0"
"119","false","50","false","200","40","50","true","0","60","true","15","500","0","0","0","0","0","0"
"114","false","50","false","200","40","50","true","0","57","true","35","500","47","13","34","0","34","13"
"116","false","50","false","200","40","50","true","0","58","true","35","500","44","9","35","0","35","9"
"104","false","50","false","200","40","50","true","0","52","true","35","500","26","2","24","0","24","2"
"99","false","50","false","200","40","50","true","0","50","true","15","500","27","35","0","8","0","27"
"88","false","50","false","200","40","50","true","0","44","true","35","500","23","3","21","1","21","2"
"127","false","50","false","200","40","50","true","0","64","true","15","500","7","30","3","26","3","4"
"124","false","50","false","200","40","50","true","0","62","true","35","336","50","15","35","0","35","15"
"131","false","50","false","200","40","50","true","0","66","true","15","500","46","35","15","4","15","31"
"72","false","50","false","200","40","50","true","0","36","true","35","500","36","4","32","0","32","4"
"90","false","50","false","200","40","50","true","0","45","true","35","500","49","15","35","1","35","14"
"133","false","50","false","200","40","50","true","0","67","true","15","500","31","18","15","2","15","16"
"107","false","50","false","200","40","50","true","0","54","true","15","500","32","24","14","6","14","18"
