"BehaviorSpace results (NetLogo 6.2.2)"
"Model for Pub.nlogo"
"Mixed Group_Set DD by Olf"
"07/08/2024 17:20:50:970 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","300","0","300"
"[run number]","pen","N-Birds","see-wind-arrows","Length-Odor-Trails","Olfaction-Threshold","Detection-Distance","communicate","weight-flock-crosswind","Seed","Mixed-Group","Number-Of-Low-Olf","[step]","(count turtles with [did-find-food = 1])","(count turtles with [ever-find-odor = 1])","(count turtles with [ever-find-odor = 0 and did-find-food = 1])","(count turtles with [ever-find-odor = 1 and did-find-food = 0])","(count turtles with [did-find-food = 1 and dd = 50])","(count turtles with [did-find-food = 1 and dd = 10])"
"79","false","50","false","200","40","50","true","0","20","true","20","500","44","30","20","6","20","24"
"85","false","50","false","200","40","50","true","0","22","true","5","500","45","45","5","5","5","40"
"56","false","50","false","200","40","50","true","0","14","true","40","500","45","10","38","3","38","7"
"83","false","50","false","200","40","50","true","0","21","true","20","392","50","30","20","0","20","30"
"71","false","50","false","200","40","50","true","0","18","true","20","500","30","26","13","9","13","17"
"86","false","50","false","200","40","50","true","0","22","true","10","500","46","40","10","4","10","36"
"93","false","50","false","200","40","50","true","0","24","true","5","500","35","45","5","15","5","30"
"90","false","50","false","200","40","50","true","0","23","true","10","500","48","40","10","2","10","38"
"97","false","50","false","200","40","50","true","0","25","true","5","500","23","20","5","2","5","18"
"94","false","50","false","200","40","50","true","0","24","true","10","500","42","40","10","8","10","32"
"91","false","50","false","200","40","50","true","0","23","true","20","500","49","30","20","1","20","29"
"95","false","50","false","200","40","50","true","0","24","true","20","500","40","30","18","8","18","22"
"87","false","50","false","200","40","50","true","0","22","true","20","500","39","30","20","11","20","19"
"52","false","50","false","200","40","50","true","0","13","true","40","500","40","8","34","2","34","6"
"80","false","50","false","200","40","50","true","0","20","true","40","500","49","9","40","0","40","9"
"72","false","50","false","200","40","50","true","0","18","true","40","500","31","10","25","4","25","6"
"75","false","50","false","200","40","50","true","0","19","true","20","500","6","16","6","16","6","0"
"101","false","50","false","200","40","50","true","0","26","true","5","500","30","26","5","1","5","25"
"102","false","50","false","200","40","50","true","0","26","true","10","500","33","24","10","1","10","23"
"105","false","50","false","200","40","50","true","0","27","true","5","500","46","44","5","3","5","41"
"76","false","50","false","200","40","50","true","0","19","true","40","500","0","5","0","5","0","0"
"68","false","50","false","200","40","50","true","0","17","true","40","500","34","4","31","1","31","3"
"84","false","50","false","200","40","50","true","0","21","true","40","392","50","10","40","0","40","10"
"98","false","50","false","200","40","50","true","0","25","true","10","500","28","18","10","0","10","18"
"106","false","50","false","200","40","50","true","0","27","true","10","500","44","39","10","5","10","34"
"60","false","50","false","200","40","50","true","0","15","true","40","500","31","2","29","0","29","2"
"44","false","50","false","200","40","50","true","0","11","true","40","500","24","2","23","1","23","1"
"113","false","50","false","200","40","50","true","0","29","true","5","500","37","32","5","0","5","32"
"99","false","50","false","200","40","50","true","0","25","true","20","500","35","15","20","0","20","15"
"109","false","50","false","200","40","50","true","0","28","true","5","500","5","21","3","19","3","2"
"110","false","50","false","200","40","50","true","0","28","true","10","500","16","18","10","12","10","6"
"115","false","50","false","200","40","50","true","0","29","true","20","500","38","22","20","4","20","18"
"107","false","50","false","200","40","50","true","0","27","true","20","500","48","29","20","1","20","28"
"92","false","50","false","200","40","50","true","0","23","true","40","500","49","10","40","1","40","9"
"117","false","50","false","200","40","50","true","0","30","true","5","500","31","45","5","19","5","26"
"100","false","50","false","200","40","50","true","0","25","true","40","500","46","6","40","0","40","6"
"103","false","50","false","200","40","50","true","0","26","true","20","500","35","16","20","1","20","15"
"114","false","50","false","200","40","50","true","0","29","true","10","500","35","25","10","0","10","25"
"96","false","50","false","200","40","50","true","0","24","true","40","500","46","10","39","3","39","7"
"118","false","50","false","200","40","50","true","0","30","true","10","500","32","40","8","16","8","24"
"88","false","50","false","200","40","50","true","0","22","true","40","500","37","10","30","3","30","7"
"104","false","50","false","200","40","50","true","0","26","true","40","500","46","8","39","1","39","7"
"119","false","50","false","200","40","50","true","0","30","true","20","500","46","30","20","4","20","26"
"125","false","50","false","200","40","50","true","0","32","true","5","500","0","0","0","0","0","0"
"121","false","50","false","200","40","50","true","0","31","true","5","500","0","0","0","0","0","0"
"122","false","50","false","200","40","50","true","0","31","true","10","500","0","0","0","0","0","0"
"8","false","50","false","200","40","50","true","0","2","true","40","500","32","9","23","0","23","9"
"133","false","50","false","200","40","50","true","0","34","true","5","500","15","13","5","3","5","10"
"135","false","50","false","200","40","50","true","0","34","true","20","500","26","7","20","1","20","6"
"137","false","50","false","200","40","50","true","0","35","true","5","500","38","45","5","12","5","33"
"134","false","50","false","200","40","50","true","0","34","true","10","500","15","11","10","6","10","5"
"138","false","50","false","200","40","50","true","0","35","true","10","500","42","40","10","8","10","32"
"129","false","50","false","200","40","50","true","0","33","true","5","500","2","16","1","15","1","1"
"141","false","50","false","200","40","50","true","0","36","true","5","500","17","12","5","0","5","12"
"130","false","50","false","200","40","50","true","0","33","true","10","500","25","15","10","0","10","15"
"142","false","50","false","200","40","50","true","0","36","true","10","500","21","11","10","0","10","11"
"126","false","50","false","200","40","50","true","0","32","true","10","500","0","0","0","0","0","0"
"108","false","50","false","200","40","50","true","0","27","true","40","500","46","10","37","1","37","9"
"116","false","50","false","200","40","50","true","0","29","true","40","500","44","6","39","1","39","5"
"149","false","50","false","200","40","50","true","0","38","true","5","500","42","45","5","8","5","37"
"123","false","50","false","200","40","50","true","0","31","true","20","500","0","0","0","0","0","0"
"145","false","50","false","200","40","50","true","0","37","true","5","500","0","14","0","14","0","0"
"120","false","50","false","200","40","50","true","0","30","true","40","500","47","9","39","1","39","8"
"139","false","50","false","200","40","50","true","0","35","true","20","500","34","30","18","14","18","16"
"124","false","50","false","200","40","50","true","0","31","true","40","500","0","0","0","0","0","0"
"111","false","50","false","200","40","50","true","0","28","true","20","500","0","13","0","13","0","0"
"143","false","50","false","200","40","50","true","0","36","true","20","500","26","7","19","0","19","7"
"157","false","50","false","200","40","50","true","0","40","true","5","500","46","42","5","1","5","41"
"153","false","50","false","200","40","50","true","0","39","true","5","500","14","19","5","10","5","9"
"154","false","50","false","200","40","50","true","0","39","true","10","500","23","19","10","6","10","13"
"131","false","50","false","200","40","50","true","0","33","true","20","500","6","8","5","7","5","1"
"146","false","50","false","200","40","50","true","0","37","true","10","500","0","12","0","12","0","0"
"158","false","50","false","200","40","50","true","0","40","true","10","500","46","38","10","2","10","36"
"140","false","50","false","200","40","50","true","0","35","true","40","500","48","10","40","2","40","8"
"147","false","50","false","200","40","50","true","0","37","true","20","500","0","4","0","4","0","0"
"159","false","50","false","200","40","50","true","0","40","true","20","500","46","27","20","1","20","26"
"112","false","50","false","200","40","50","true","0","28","true","40","500","0","4","0","4","0","0"
"155","false","50","false","200","40","50","true","0","39","true","20","500","28","15","20","7","20","8"
"128","false","50","false","200","40","50","true","0","32","true","40","500","0","0","0","0","0","0"
"151","false","50","false","200","40","50","true","0","38","true","20","500","47","30","20","3","20","27"
"161","false","50","false","200","40","50","true","0","41","true","5","500","5","4","3","2","3","2"
"136","false","50","false","200","40","50","true","0","34","true","40","500","34","2","32","0","32","2"
"127","false","50","false","200","40","50","true","0","32","true","20","500","0","0","0","0","0","0"
"165","false","50","false","200","40","50","true","0","42","true","5","500","0","0","0","0","0","0"
"169","false","50","false","200","40","50","true","0","43","true","5","500","32","45","5","18","5","27"
"162","false","50","false","200","40","50","true","0","41","true","10","500","7","4","5","2","5","2"
"170","false","50","false","200","40","50","true","0","43","true","10","500","39","40","10","11","10","29"
"152","false","50","false","200","40","50","true","0","38","true","40","500","35","9","28","2","28","7"
"132","false","50","false","200","40","50","true","0","33","true","40","500","25","6","24","5","24","1"
"173","false","50","false","200","40","50","true","0","44","true","5","500","8","11","5","8","5","3"
"150","false","50","false","200","40","50","true","0","38","true","10","500","33","40","10","17","10","23"
"177","false","50","false","200","40","50","true","0","45","true","5","500","49","45","5","1","5","44"
"171","false","50","false","200","40","50","true","0","43","true","20","500","43","30","20","7","20","23"
"144","false","50","false","200","40","50","true","0","36","true","40","500","38","3","35","0","35","3"
"174","false","50","false","200","40","50","true","0","44","true","10","500","15","9","10","4","10","5"
"160","false","50","false","200","40","50","true","0","40","true","40","424","50","10","40","0","40","10"
"163","false","50","false","200","40","50","true","0","41","true","20","500","21","2","19","0","19","2"
"166","false","50","false","200","40","50","true","0","42","true","10","500","0","0","0","0","0","0"
"181","false","50","false","200","40","50","true","0","46","true","5","500","39","34","5","0","5","34"
"178","false","50","false","200","40","50","true","0","45","true","10","410","50","40","10","0","10","40"
"167","false","50","false","200","40","50","true","0","42","true","20","500","0","0","0","0","0","0"
"182","false","50","false","200","40","50","true","0","46","true","10","500","39","29","10","0","10","29"
"185","false","50","false","200","40","50","true","0","47","true","5","500","18","30","3","15","3","15"
"189","false","50","false","200","40","50","true","0","48","true","5","377","50","42","8","0","5","45"
"179","false","50","false","200","40","50","true","0","45","true","20","403","50","30","20","0","20","30"
"191","false","50","false","200","40","50","true","0","48","true","20","399","50","30","20","0","20","30"
"193","false","50","false","200","40","50","true","0","49","true","5","500","15","25","5","15","5","10"
"190","false","50","false","200","40","50","true","0","48","true","10","400","50","40","10","0","10","40"
"172","false","50","false","200","40","50","true","0","43","true","40","500","47","10","40","3","40","7"
"175","false","50","false","200","40","50","true","0","44","true","20","500","9","6","5","2","5","4"
"187","false","50","false","200","40","50","true","0","47","true","20","500","29","16","20","7","20","9"
"198","false","50","false","200","40","50","true","0","50","true","10","500","44","40","10","6","10","34"
"183","false","50","false","200","40","50","true","0","46","true","20","500","42","22","20","0","20","22"
"197","false","50","false","200","40","50","true","0","50","true","5","500","34","45","3","14","3","31"
"186","false","50","false","200","40","50","true","0","47","true","10","500","21","24","10","13","10","11"
"168","false","50","false","200","40","50","true","0","42","true","40","500","0","0","0","0","0","0"
"201","false","50","false","200","40","50","true","0","51","true","5","500","35","34","5","4","5","30"
"202","false","50","false","200","40","50","true","0","51","true","10","500","38","31","10","3","10","28"
"209","false","50","false","200","40","50","true","0","53","true","5","500","18","13","5","0","5","13"
"180","false","50","false","200","40","50","true","0","45","true","40","500","47","10","40","3","40","7"
"148","false","50","false","200","40","50","true","0","37","true","40","500","0","3","0","3","0","0"
"176","false","50","false","200","40","50","true","0","44","true","40","500","38","2","36","0","36","2"
"164","false","50","false","200","40","50","true","0","41","true","40","500","39","1","38","0","38","1"
"205","false","50","false","200","40","50","true","0","52","true","5","500","12","16","2","6","2","10"
"199","false","50","false","200","40","50","true","0","50","true","20","500","35","30","20","15","20","15"
"184","false","50","false","200","40","50","true","0","46","true","40","500","47","7","40","0","40","7"
"203","false","50","false","200","40","50","true","0","51","true","20","500","42","24","20","2","20","22"
"156","false","50","false","200","40","50","true","0","39","true","40","500","37","3","34","0","34","3"
"210","false","50","false","200","40","50","true","0","53","true","10","500","23","13","10","0","10","13"
"217","false","50","false","200","40","50","true","0","55","true","5","500","49","45","5","1","5","44"
"194","false","50","false","200","40","50","true","0","49","true","10","500","19","22","10","13","10","9"
"206","false","50","false","200","40","50","true","0","52","true","10","500","17","13","9","5","9","8"
"195","false","50","false","200","40","50","true","0","49","true","20","500","27","18","19","10","19","8"
"213","false","50","false","200","40","50","true","0","54","true","5","500","16","30","2","16","2","14"
"222","false","50","false","200","40","50","true","0","56","true","10","500","48","40","10","2","10","38"
"221","false","50","false","200","40","50","true","0","56","true","5","500","47","45","5","3","5","42"
"211","false","50","false","200","40","50","true","0","53","true","20","500","29","9","20","0","20","9"
"219","false","50","false","200","40","50","true","0","55","true","20","500","32","30","20","18","20","12"
