"BehaviorSpace results (NetLogo 6.2.2)"
"Model for Pub.nlogo"
"Mixed Group_Set DD by Olf_Lower Range"
"07/09/2024 11:00:38:831 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","300","0","300"
"[run number]","pen","N-Birds","see-wind-arrows","Length-Odor-Trails","Olfaction-Threshold","Detection-Distance","communicate","weight-flock-crosswind","Seed","Mixed-Group","Number-Of-Low-Olf","[step]","(count turtles with [did-find-food = 1])","(count turtles with [ever-find-odor = 1])","(count turtles with [ever-find-odor = 0 and did-find-food = 1])","(count turtles with [ever-find-odor = 1 and did-find-food = 0])","(count turtles with [did-find-food = 1 and dd = 50])","(count turtles with [did-find-food = 1 and dd = 10])"
"20","false","50","false","200","40","50","true","0","5","true","48","500","0","0","0","0","0","0"
"13","false","50","false","200","40","50","true","0","4","true","42","500","0","0","0","0","0","0"
"26","false","50","false","200","40","50","true","0","7","true","44","500","46","2","44","0","44","2"
"19","false","50","false","200","40","50","true","0","5","true","46","500","0","0","0","0","0","0"
"27","false","50","false","200","40","50","true","0","7","true","46","500","31","2","30","1","30","1"
"17","false","50","false","200","40","50","true","0","5","true","42","500","0","0","0","0","0","0"
"25","false","50","false","200","40","50","true","0","7","true","42","500","46","4","42","0","42","4"
"16","false","50","false","200","40","50","true","0","4","true","48","500","0","0","0","0","0","0"
"29","false","50","false","200","40","50","true","0","8","true","42","500","40","6","36","2","36","4"
"1","false","50","false","200","40","50","true","0","1","true","42","500","34","4","30","0","30","4"
"6","false","50","false","200","40","50","true","0","2","true","44","500","44","6","38","0","38","6"
"5","false","50","false","200","40","50","true","0","2","true","42","500","48","8","40","0","40","8"
"10","false","50","false","200","40","50","true","0","3","true","44","500","45","3","42","0","42","3"
"28","false","50","false","200","40","50","true","0","7","true","48","500","46","2","45","1","45","1"
"7","false","50","false","200","40","50","true","0","2","true","46","500","40","4","36","0","36","4"
"30","false","50","false","200","40","50","true","0","8","true","44","500","42","4","39","1","39","3"
"15","false","50","false","200","40","50","true","0","4","true","46","500","0","0","0","0","0","0"
"9","false","50","false","200","40","50","true","0","3","true","42","500","46","4","42","0","42","4"
"11","false","50","false","200","40","50","true","0","3","true","46","500","43","2","41","0","41","2"
"21","false","50","false","200","40","50","true","0","6","true","42","500","22","7","20","5","20","2"
"23","false","50","false","200","40","50","true","0","6","true","46","500","36","4","34","2","34","2"
"22","false","50","false","200","40","50","true","0","6","true","44","500","33","6","30","3","30","3"
"14","false","50","false","200","40","50","true","0","4","true","44","500","0","0","0","0","0","0"
"3","false","50","false","200","40","50","true","0","1","true","46","500","15","2","14","1","14","1"
"18","false","50","false","200","40","50","true","0","5","true","44","500","0","0","0","0","0","0"
