"BehaviorSpace results (NetLogo 6.2.2)"
"Model for Pub.nlogo"
"Mixed Group_Set DD by Olf_More Ranges"
"07/09/2024 11:17:39:349 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","300","0","300"
"[run number]","pen","N-Birds","see-wind-arrows","Length-Odor-Trails","Olfaction-Threshold","Detection-Distance","communicate","weight-flock-crosswind","Seed","Mixed-Group","Number-Of-Low-Olf","[step]","(count turtles with [did-find-food = 1])","(count turtles with [ever-find-odor = 1])","(count turtles with [ever-find-odor = 0 and did-find-food = 1])","(count turtles with [ever-find-odor = 1 and did-find-food = 0])","(count turtles with [did-find-food = 1 and dd = 50])","(count turtles with [did-find-food = 1 and dd = 10])"
"76","false","50","false","200","40","50","true","0","38","true","49","500","0","1","0","1","0","0"
"46","false","50","false","200","40","50","true","0","23","true","49","500","3","1","2","0","2","1"
"61","false","50","false","200","40","50","true","0","31","true","30","500","0","0","0","0","0","0"
"93","false","50","false","200","40","50","true","0","47","true","30","500","33","10","29","6","29","4"
"77","false","50","false","200","40","50","true","0","39","true","30","500","36","10","30","4","30","6"
"99","false","50","false","200","40","50","true","0","50","true","30","500","37","20","17","0","17","20"
"97","false","50","false","200","40","50","true","0","49","true","30","500","34","13","28","7","28","6"
"57","false","50","false","200","40","50","true","0","29","true","30","500","10","10","7","7","7","3"
"89","false","50","false","200","40","50","true","0","45","true","30","430","50","20","30","0","30","20"
"85","false","50","false","200","40","50","true","0","43","true","30","500","43","20","29","6","29","14"
"44","false","50","false","200","40","50","true","0","22","true","49","500","3","1","2","0","2","1"
"91","false","50","false","200","40","50","true","0","46","true","30","500","45","15","30","0","30","15"
"81","false","50","false","200","40","50","true","0","41","true","30","500","29","1","28","0","28","1"
"95","false","50","false","200","40","50","true","0","48","true","30","500","47","20","27","0","27","20"
"78","false","50","false","200","40","50","true","0","39","true","49","500","0","0","0","0","0","0"
"109","false","50","false","200","40","50","true","0","55","true","30","500","30","20","27","17","27","3"
"90","false","50","false","200","40","50","true","0","45","true","49","382","50","1","49","0","49","1"
"82","false","50","false","200","40","50","true","0","41","true","49","500","0","0","0","0","0","0"
"60","false","50","false","200","40","50","true","0","30","true","49","500","34","1","33","0","33","1"
"103","false","50","false","200","40","50","true","0","52","true","30","500","33","6","27","0","27","6"
"72","false","50","false","200","40","50","true","0","36","true","49","500","43","1","42","0","42","1"
"101","false","50","false","200","40","50","true","0","51","true","30","500","43","15","30","2","30","13"
"80","false","50","false","200","40","50","true","0","40","true","49","500","7","1","6","0","6","1"
"105","false","50","false","200","40","50","true","0","53","true","30","500","38","8","30","0","30","8"
"98","false","50","false","200","40","50","true","0","49","true","49","500","43","1","42","0","42","1"
"94","false","50","false","200","40","50","true","0","47","true","49","500","21","1","21","1","21","0"
"70","false","50","false","200","40","50","true","0","35","true","49","500","0","1","0","1","0","0"
"107","false","50","false","200","40","50","true","0","54","true","30","500","16","14","10","8","10","6"
"106","false","50","false","200","40","50","true","0","53","true","49","500","42","1","41","0","41","1"
"111","false","50","false","200","40","50","true","0","56","true","30","500","47","20","29","2","29","18"
"117","false","50","false","200","40","50","true","0","59","true","30","349","50","20","30","0","30","20"
"86","false","50","false","200","40","50","true","0","43","true","49","500","18","1","17","0","17","1"
"125","false","50","false","200","40","50","true","0","63","true","30","500","38","20","27","9","27","11"
"113","false","50","false","200","40","50","true","0","57","true","30","500","46","18","29","1","29","17"
"102","false","50","false","200","40","50","true","0","51","true","49","500","27","1","26","0","26","1"
"84","false","50","false","200","40","50","true","0","42","true","49","500","0","0","0","0","0","0"
"131","false","50","false","200","40","50","true","0","66","true","30","500","49","20","30","1","30","19"
"127","false","50","false","200","40","50","true","0","64","true","30","500","45","19","29","3","29","16"
"115","false","50","false","200","40","50","true","0","58","true","30","500","42","13","30","1","30","12"
"104","false","50","false","200","40","50","true","0","52","true","49","500","0","0","0","0","0","0"
"116","false","50","false","200","40","50","true","0","58","true","49","500","0","0","0","0","0","0"
"108","false","50","false","200","40","50","true","0","54","true","49","500","13","1","12","0","12","1"
"121","false","50","false","200","40","50","true","0","61","true","30","500","44","17","30","3","30","14"
"96","false","50","false","200","40","50","true","0","48","true","49","500","10","1","9","0","9","1"
"119","false","50","false","200","40","50","true","0","60","true","30","500","0","0","0","0","0","0"
"92","false","50","false","200","40","50","true","0","46","true","49","500","25","1","24","0","24","1"
"123","false","50","false","200","40","50","true","0","62","true","30","370","50","20","30","0","30","20"
